YEAR,WEEK,avgTemper,rain,sunHour,sunAmount,humidity,cloud,snow,wind
2011,2,-4.5,0.2,6.6,4.9,49.9,2.4,1.8,10.2
2011,3,-5.2,0.1,6.9,5.1,50.9,2,1.1,9.1
2011,4,-3.9,0.4,5.3,4.3,43.5,2.6,1.7,9.7
2011,5,-0.5,0,7.3,5.7,56.4,1.8,0.8,7.5
2011,6,0.7,0.7,4.6,4.7,58.9,3.5,0.7,8
2011,7,0.2,1.3,5.5,5.4,63,3.3,2.2,6.9
2011,8,5.5,0,8,7.4,56.2,2.2,0.3,7.7
2011,9,2.5,6.3,5.3,5.7,62.3,3.5,0.4,9.9
2011,10,3.7,0,7.5,7.4,39.4,1.3,0.1,10.7
2011,11,6.1,0,7.2,8.1,49.2,2.8,0,10.2
2011,12,4.7,2.8,7.2,8.4,50.7,3.2,0.2,10.6
2011,13,7.8,0,8,9.3,49.1,2,0,8.7
2011,14,9.8,3.4,7.2,8.5,59.9,2.6,0,8.5
2011,15,11.8,0.4,9.4,10.8,47.4,1.7,0,9.7
2011,16,10.5,4,6.7,8.7,59.1,3.2,0,10
2011,17,12.4,6.8,5,7.7,63.6,4,0,11.2
2011,18,15.3,0.6,7,9.7,59.3,3.1,0,9.1
2011,19,16.8,13.2,4.7,7.3,67.6,3.9,0,10.5
2011,20,17.8,1.2,7,9.7,61,3.2,0,9.3
2011,21,17.1,1.9,4.1,7.7,65.7,4.9,0,7.6
2011,22,18.6,1.7,5.9,9.5,69.2,4,0,8.1
2011,23,20.8,1.4,6.9,9.7,64.8,3.6,0,7.2
2011,24,21.3,0.6,6.3,9.9,65.2,4.2,0,7
2011,25,22.4,21.4,4.3,6.9,75.3,4.6,0,9.6
2011,26,23,16.2,3.1,6.7,79.7,5.3,0,9.7
2011,27,23,24.3,3.2,5.9,80.8,5.2,0,8
2011,28,24,22.3,2.1,5.8,84.1,5.4,0,7.8
2011,29,25.2,1.7,6.5,9.9,70.3,3.6,0,8.2
2011,30,25.3,22,3.1,7,79.3,5.1,0,8
2011,31,26,10.6,4,7.6,78.4,4.7,0,7
2011,32,25.5,18.7,2.3,5.6,79.8,5.5,0,10.3
2011,33,23.8,8.5,1.9,5.1,82.5,5.5,0,7.1
2011,34,22.5,1.9,3.1,6.4,75.9,5.1,0,6.8
2011,35,24.9,0.7,7.2,9.2,71.5,2.8,0,7.5
2011,36,21.3,3.3,4.8,7.1,69.5,3.9,0,7.1
2011,37,23.8,3.7,5.2,7.5,76.5,3.5,0,6.4
2011,38,17.9,0.3,6.3,7.5,61.9,2.9,0,8.7
2011,39,17.2,1.7,6.5,7.3,65,3,0,7.4
2011,40,14.3,0,7.9,8.2,59,1.9,0,7.1
2011,41,15.7,2.7,5.2,5.7,70.3,3.6,0,6.6
2011,42,13.9,4.5,6.6,6,62.7,2.6,0,8.3
2011,43,11.9,0.6,5.3,5,66.3,3.3,0,6.8
2011,44,16.1,3.9,5.2,4.8,70.7,3.9,0,6.5
2011,45,13.8,2,2,2.9,74.3,5.2,0,6.9
2011,46,11,4.2,4.9,3.9,61.8,3.2,0,7.8
2011,47,4.2,0.9,6.2,4.4,53.9,2.3,0,9.1
2011,48,9,5.3,2.2,2.4,76.7,4.7,0.1,7.8
2011,49,3.1,0.4,3.9,3,57,4,0.5,8.3
2011,50,1.3,0.1,5.9,3.9,55.1,2.4,1.1,8.5
2011,51,-0.8,0.2,6.1,4,51.1,2.4,0.4,9
2011,52,-1.7,0.1,6.7,4.3,52.6,1.8,0.5,7.5
2012,1,-2.3,0.3,5.7,3.9,59,2.5,0.8,9
2012,2,-0.9,0,6.2,4.3,52.8,2.4,0.3,8.4
2012,3,3.3,1.6,2.1,2.7,66.4,5.1,0.2,6.8
2012,4,-2.8,0.2,7,5.2,49.8,2.4,0.6,9.4
2012,5,-4,0.6,7.5,5.6,46,1.8,1.1,10
2012,6,-2,0.4,6.2,5.3,50.6,2.9,0.7,8.6
2012,7,0.2,0.7,6.6,5.8,46.8,3.2,0.4,8.9
2012,8,2.3,0.3,4.9,5.2,58.6,3.7,0.3,7.9
2012,9,3.9,0.5,4.6,5.4,55.9,3.9,0.2,7.3
2012,10,4.8,3.4,3.5,4.8,64.6,4.9,0.1,8.9
2012,11,4.3,1,6.8,7.2,55,2.7,0.1,9.4
2012,12,5.5,4,5.8,6.6,57.9,3.3,0.1,9.9
2012,13,8.1,3.6,7.7,8.4,52.2,2.2,0.1,11.1
2012,14,7.5,3.9,8.8,9.6,47.3,1.5,0,13.3
2012,15,12.4,1.6,5.8,7.5,61.9,3.7,0,9.5
2012,16,13.4,8.3,6.6,8.4,58.9,3.7,0,8.9
2012,17,14.9,4.4,7.6,9.1,60.4,2.6,0,9.9
2012,18,18.2,1.8,6.5,8.8,62.1,3.4,0,8.8
2012,19,17,0.2,7.6,10.1,57.9,2.8,0,8
2012,20,16.6,2.6,6.7,9.2,64.3,3.8,0,7.5
2012,21,19.5,0.1,9.2,11.4,53,2.6,0,7.3
2012,22,19.6,0.8,6.2,9.5,61.9,3.6,0,7.8
2012,23,21.4,1.1,6.9,9.5,66.5,4.1,0,7.2
2012,24,21.3,1.6,6.3,9.3,69.2,4,0,7.8
2012,25,22.5,2.4,7,9.9,67.9,3.8,0,7.5
2012,26,22.3,6.3,4.1,7.3,68,4.9,0,8.9
2012,27,23.2,13.5,4.8,6.7,78.3,5.2,0,7.9
2012,28,23.6,13.2,3.6,6.6,79,5.1,0,7.6
2012,29,23.9,15,2.9,6.2,81.1,5.4,0,8.3
2012,30,26.7,0.8,8.4,10.5,72.9,3.3,0,6.8
2012,31,28.2,0.5,9.7,10.9,66.7,2.5,0,8.1
2012,32,26.9,1.6,7.6,9.2,68.1,3.7,0,6.9
2012,33,25.6,18.8,3.5,6.2,80.3,5.3,0,8.4
2012,34,24.2,21.7,2.5,5.2,81,5.6,0,8.3
2012,35,24.1,14.2,4.9,6.8,74.4,4.5,0,12
2012,36,22,11.6,6.5,8.1,74.3,3.6,0,7.7
2012,37,20,5.6,3.5,5.5,77.2,5,0,6.2
2012,38,18.8,17.4,5.4,6.2,75.3,3.8,0,8.8
2012,39,18.5,0.4,7.6,7.7,68.2,2.4,0,7.3
2012,40,17,0,7.5,7.3,68.6,2.3,0,6.3
2012,41,15,0.3,8.1,7.2,64.3,2,0,6.8
2012,42,13.6,0.2,7.7,6.7,58.3,1.6,0,8
2012,43,13.7,8.8,5.6,4.9,69.3,3.3,0,8
2012,44,9.7,0.1,8.5,6.6,56.9,1.7,0,8.5
2012,45,10.3,2.4,3.9,3.8,69.3,4.1,0,8.8
2012,46,7.2,5,4.8,3.9,62.4,3.5,0,10.8
2012,47,4.9,0.3,6,4.6,58.6,2.5,0,7.5
2012,48,3.4,0.9,5.9,4.3,53.7,2.9,0,9
2012,49,-0.1,2.2,4.2,3.1,64.5,3.5,1.7,11.2
2012,50,-1.2,4,5.8,3.6,65.4,2.4,1.9,7.3
2012,51,0.1,1.2,5,3.5,63.6,3,0.4,8.2
2012,52,-3.5,1.8,5.4,3.8,59.7,2.8,1.7,8
2012,53,-4.6,1,6.6,3.6,60.7,2.4,2.9,9.8
2013,0,-6,0.5,7.1,4.7,56.3,1.8,3,8.7
2013,1,-3.3,0,7.1,5,53,1.7,1.9,7.4
2013,2,-0.9,0.1,5,4,63.4,2.4,1.1,7.4
2013,3,0.7,3.2,3.2,3,67.3,4.1,0.6,8.7
2013,4,2.9,4.1,5.3,4.4,65.3,3.1,0.3,7.8
2013,5,-2,2,4.8,4.3,63,3.8,1.5,8.6
2013,6,-0.5,0.1,7.2,6.3,52,2.5,0.8,8.2
2013,7,0.8,0.9,6.2,6,49.1,2.9,0.2,9
2013,8,4.3,0.7,6.7,7.2,52.6,3.1,0,8.4
2013,9,7.2,0.1,7.8,7.3,54.9,1.3,0,9.5
2013,10,6.3,2.5,7.7,7.8,56.1,2.2,0,8.6
2013,11,7.1,4.7,6.2,7,60.2,3.3,0,9.2
2013,12,6.9,0.1,8.7,9.3,48.9,2.6,0,8.5
2013,13,9.6,3.9,6.1,7.3,60.6,3.6,0,8.7
2013,14,7.5,0.5,9.6,10.2,47.3,1.7,0,11.9
2013,15,10.6,1.5,5.5,7.3,57.5,3.8,0,10
2013,16,11.1,3.8,7.6,9,61.4,2.9,0,9.7
2013,17,13,1.5,7.6,9.5,61.9,2.9,0,9.3
2013,18,16.2,3,8.5,10.2,58.9,2.3,0,8.3
2013,19,18.4,0.8,8.9,11.1,58.4,2.7,0,8.6
2013,20,18.8,3.2,8.1,10.3,65,2.3,0,6.9
2013,21,19.1,10.4,3.5,6.3,71,5.3,0,7.6
2013,22,21.1,0.1,9,11.3,65.3,2.4,0,6.8
2013,23,21.6,1.5,4.2,7.6,72.5,5,0,6.8
2013,24,22.8,8.8,4.8,7.9,76.3,4.9,0,6.7
2013,25,22.4,3.3,6,8.9,74,4.3,0,6.7
2013,26,24.2,14.5,4.2,6.7,78.5,5,0,8.6
2013,27,25.3,11.4,4.2,6.9,78.7,4.9,0,9.1
2013,28,25.9,5.8,5.8,8.5,75,4.2,0,9.5
2013,29,25.8,6.9,5.3,7.7,74.6,4.3,0,8.4
2013,30,26,6.7,4.2,7.1,79.9,5,0,7.9
2013,31,27.5,4.6,6.9,8.7,76.7,3.3,0,8.4
2013,32,27.7,0.2,10.1,10.8,69.8,1.9,0,6.9
2013,33,26.5,10.5,6.5,7.9,74.1,3.7,0,7
2013,34,24.4,4.6,7.4,8.5,71.9,3.4,0,7.7
2013,35,20.5,1.1,5.7,7.4,68.9,3.9,0,6.8
2013,36,21.9,9.3,3.9,5.8,78.3,4.7,0,6.6
2013,37,21.8,0,9.6,9.5,67.6,0.8,0,6.6
2013,38,19.5,1,6.3,7.1,67,3.6,0,7.3
2013,39,18.5,4.6,6,6.4,71.5,3,0,7.2
2013,40,19.3,6.1,4.4,5.1,73.3,3.7,0,8.9
2013,41,13.9,0.4,7.4,6.7,66.9,1.9,0,7
2013,42,13.8,0.1,7.9,6.7,62.5,1.7,0,7.9
2013,43,12.2,0.3,6.9,5.6,67.6,2.2,0,5.8
2013,44,11.9,2.2,5.2,4.6,68.9,2.6,0,7
2013,45,6.7,0.6,7,5.5,58.5,1.8,0,8.3
2013,46,4.8,0.5,6.9,4.8,59.3,2,0,10.2
2013,47,3.9,5,5.1,3.7,66.1,3.1,0.6,11.2
2013,48,4.9,0,6.3,4.4,64.5,1.6,0,6.7
2013,49,2,2.2,5,3.5,64.7,2.9,0.6,10.1
2013,50,0.5,0.7,4.5,3.5,62,3.4,1,8.5
2013,51,-0.3,0.1,6.1,4.1,59.9,2.2,0.2,8
2013,52,2,0.1,6.5,4.1,59.9,1.5,0.4,9.9
2014,0,3.3,0.1,7,4.5,51.5,1.4,0.1,7.8
2014,1,-0.1,0.4,5.8,4.2,53.8,2.1,0.2,7.7
2014,2,-1.1,0.1,6.7,4.7,49.8,1.2,0.3,8.1
2014,3,0.9,0.6,5.1,4.1,62,2.8,1.2,8.2
2014,4,4,1.2,6.6,4.9,57.4,2.2,0.1,8
2014,5,1.2,0.9,3.9,4,56.8,3.8,0.3,8.9
2014,6,1.4,0.8,5.3,5.2,63.1,3.4,1.6,7.8
2014,7,2.6,0.5,5.9,5.7,58.3,2.6,0.6,7.3
2014,8,6.2,1.3,4.9,5.3,64.4,2.8,0.3,6.5
2014,9,3.5,0.2,8.2,7.9,45.6,1.9,0.1,9.4
2014,10,4.5,4.9,6.4,6.5,59.5,2.2,0.1,9.4
2014,11,9.1,0.6,6.9,7.6,62.9,2.4,0,9.9
2014,12,12.8,4.3,5.5,6.6,66.2,3.1,0,7.9
2014,13,11,1.1,7.9,8.8,56.8,2.2,0,8.9
2014,14,11.6,0.1,7.8,9.2,54.8,2.2,0,7.9
2014,15,13.8,2.4,5.5,7.5,61.4,3.2,0,8
2014,16,15.4,0,9.1,10.6,48.7,2,0,7.8
2014,17,14.7,8,4.7,9.3,70.2,5.1,0,9.2
2014,18,14.2,0.7,9.1,11.8,52.7,2.2,0,9.9
2014,19,18.1,5.4,8.6,10.7,58.3,2.5,0,9.7
2014,20,18.9,0.9,8,10.4,64.3,2.3,0,7.1
2014,21,21.5,2.3,9.1,11.3,58.1,1.8,0,8.8
2014,22,20.6,4,3.4,6.7,69.8,4.4,0,7.9
2014,23,19.3,3.2,5.4,8.7,70.9,3.9,0,7.1
2014,24,21.7,1.3,5.4,8.6,70.1,4,0,7.3
2014,25,22,2.3,6.8,9.7,72.9,3.6,0,7.1
2014,26,22.7,5.5,4.7,8,75.4,4.2,0,6.9
2014,27,24.1,3.5,4.6,7.7,75,4.3,0,7.6
2014,28,23.9,7.7,4.4,7,78.1,4.6,0,6.9
2014,29,25.6,5.7,6.2,8.2,75.9,3.9,0,9.3
2014,30,25.4,6.4,6.5,8.8,72.7,3.8,0,8.3
2014,31,24.1,9.4,3.2,5.5,81.1,4.7,0,8.5
2014,32,22.7,6.7,4.7,6.9,79.1,4.3,0,6.7
2014,33,22.7,20.6,3,5.3,84,5,0,7
2014,34,22.5,8.1,4.5,6.3,78.2,4.4,0,6.9
2014,35,21.6,5.5,5.9,7.2,76.5,3.5,0,6.8
2014,36,21.6,0.1,7.6,8.6,71.7,2.3,0,6.2
2014,37,19.9,0.2,6.4,7.3,66.6,3.4,0,6.4
2014,38,19.7,8.7,6.4,6.8,73.4,3,0,7.1
2014,39,18.3,1.5,5.2,5.6,74.3,3.3,0,7.3
2014,40,16.4,0,9.6,7.7,64,1.1,0,7.9
2014,41,14.1,2.3,7.5,6.5,62.9,1.8,0,8.2
2014,42,14.5,9.6,5.1,4.7,77.9,3.1,0,6.6
2014,43,12.9,3.3,5.6,4.9,69.7,2.8,0,6.2
2014,44,10.7,0.5,6.4,5.2,64.7,2.3,0,7.6
2014,45,7.4,0.4,7.5,5.3,57,2,0,8.6
2014,46,7.3,0.3,6.8,4.7,60.6,2.1,0,6.4
2014,47,9.7,4.8,3.2,2.8,76.7,3.8,0,7
2014,48,0.8,2.3,5.1,3.4,63,3.1,1,10.7
2014,49,0.5,0.6,5.5,3.8,59.3,3,0.8,8.4
2014,50,-1.4,1.8,4.5,3.3,57.8,2.3,0.9,10
2014,51,-0.4,0.2,6.2,3.9,58.8,1.9,0.6,7.9
2014,52,2,0.2,4.9,3.4,62,2.3,0.1,8.7
2015,0,-3.2,0.5,7,4.4,52.7,1.9,0.9,10.2
2015,1,0.8,1.4,6.9,4.6,57.7,1.6,0.1,8.3
2015,2,1.3,0.4,5.4,4,58.2,2.4,0,8.4
2015,3,2.2,1.1,5.2,4,67.4,3.1,0.2,7.4
2015,4,1.1,1.3,4.5,3.9,65.4,3.5,0,8
2015,5,1,0,6.8,5.3,59.3,2.3,0,7
2015,6,0.3,0,7.9,6.3,49.3,1.4,0,10.5
2015,7,4.5,3.3,3.6,3.7,71.2,3.8,0,7.7
2015,8,3.5,0.5,5.4,5.6,55.8,3.6,0,8.9
2015,9,2.8,0.6,7.5,7.1,54,2.4,0,9
2015,10,3.8,0.3,8.7,8.3,44.6,1.8,0,10.9
2015,11,10.4,4.4,6.7,7.1,56.6,3.1,0,7.3
2015,12,7.8,0,10.1,10.1,41.2,0.6,0,9
2015,13,12.3,5.5,4.3,5.6,71,4.2,0,9.9
2015,14,9.6,1.2,5.4,7,66.2,3.7,0,7.4
2015,15,11.2,3.8,5.6,7.3,59.5,3.5,0,10
2015,16,13.7,3.9,7.7,8.7,58.8,2.7,0,8.2
2015,17,17.6,4.1,7.6,9,61.8,2.9,0,7.6
2015,18,15.9,1.9,7.7,9.8,55.7,3,0,8
2015,19,17.5,5.7,7.9,9.9,62.7,2.9,0,10.4
2015,20,17.6,1,8.7,10.6,55.2,2.9,0,7.7
2015,21,20.4,0.4,10.1,11.8,52.7,1.8,0,7.1
2015,22,19.9,0.7,8.6,10.6,57.7,3.1,0,7.6
2015,23,21.5,0.6,6.5,9,66.6,3.8,0,7.8
2015,24,21.3,4.1,4.9,8,73.8,4.9,0,7.6
2015,25,21.3,6.5,5.2,8.1,74.6,4.6,0,7.4
2015,26,21.6,1.9,7.5,10,71.3,3.9,0,7.4
2015,27,22.2,9.3,4.5,7.3,77,5.3,0,7
2015,28,23,6.2,4.9,7.6,74,3.8,0,9.7
2015,29,21.2,7.7,2,4.7,71.7,3.9,0,7.4
2015,30,26.6,2.5,7.3,9.3,77.7,2.6,0,7.1
2015,31,26.9,2.7,8.9,10.3,73.2,1.8,0,8.1
2015,32,24.8,3,6.3,8.3,75.8,3.2,0,6.6
2015,33,23.9,5.2,3.6,6.3,77.4,4.1,0,6.5
2015,34,19.7,0.8,5.4,6.8,64.4,2.6,0,6.1
2015,35,22.4,4.2,5.7,7.4,77.1,3.2,0,7
2015,36,14.3,1.6,4.4,5.2,51.5,1.9,0,8
2015,37,19.2,1.7,8.6,8.8,66.8,2.2,0,7.3
2015,38,20,1.9,6.2,6.9,73.7,2.4,0,6.2
2015,39,18.6,6.2,6.8,7,63,2.3,0,9.3
2015,40,16.3,0.7,8.1,7.7,63.3,1.8,0,7.1
2015,41,14.8,0.4,8.2,7.2,68.9,1.2,0,7.2
2015,42,16.4,0.3,6.8,6.1,73.4,1.1,0,6.2
2015,43,11.3,2.6,7.4,6.3,57.3,1.7,0,8.9
2015,44,11.2,4.4,5.1,4.5,70.1,2.5,0,6.6
2015,45,12.5,6.4,2,2.5,46.4,4.2,0,7
2015,46,11.8,2.8,1.9,2.5,0,4.1,0,6.5
2015,47,6,2.9,2.4,2.7,0,3.8,0.3,8.4
2015,48,5.2,1.6,4.1,3.3,57.7,2.9,0.3,8.9
2015,49,5.8,2.8,4.3,3.4,69.6,2.9,0,6.2
2015,50,3.2,1,4.5,3.3,66.9,2.5,0.2,7.5
2015,51,4.1,0.7,4.2,3.3,61,2.7,0,6.8
2015,52,0,0.3,6.9,4.4,46,1.3,0,7.6
2016,0,3.8,0,4.8,3.8,69.4,2.4,0,6.3
2016,1,2.1,0.1,5.9,4,55.9,2.1,0,7.6
2016,2,0,0.1,6.3,4.5,55.4,1.9,0.1,7.3
2016,3,-4,1.1,4.7,3.8,55.2,2.8,0.8,10.2
2016,4,-1.7,2.6,4.4,3.7,65.9,2.7,1.4,7.8
2016,5,-1.1,0.1,7.9,5.9,49.2,1.1,0.3,8.3
2016,6,5.1,5.1,5.7,4.9,61.4,2.3,0.2,8.9
2016,7,1.7,0.2,6.1,5.5,57.4,2.3,0.2,10.4
2016,8,2.3,0.4,6.6,6.3,50.8,2.5,0.1,8.8
2016,9,4,5.9,5.4,5.5,58.7,2.5,0.3,9.4
2016,10,4.8,1.4,6.6,7,52.2,2.3,0,8.6
2016,11,7.7,1.6,6.3,7,57.3,2.5,0,7
2016,12,7.4,0.3,8.1,8.7,58.5,1.9,0,8
2016,13,11.4,0,8.5,9.1,51,1.6,0,8.2
2016,14,12.4,6,5.3,7.1,65.6,3.3,0,7.9
2016,15,13.3,5.9,6.6,8.1,66.2,2.6,0,8.8
2016,16,13.6,5.5,6.1,8.2,63.6,3.1,0,9.8
2016,17,14.7,3.6,7.7,9.4,56.8,2.4,0,8.2
2016,18,17,5.9,7.3,9.1,60.7,2.6,0,11.3
2016,19,15.4,3,7.3,9.5,66,2.9,0,7.7
2016,20,16.4,2.8,9.3,10.5,46.7,1.4,0,8
2016,21,19.5,3.3,7.4,9.7,64.3,3,0,6.9
2016,22,20.1,0.7,8.6,10.5,61.3,2,0,7.1
2016,23,21,0.7,6,8.8,72.9,3.3,0,6.5
2016,24,21.8,1.4,6,8.8,74.7,3.2,0,7.3
2016,25,22.5,6.6,5.4,7.9,75.9,3.5,0,7.8
2016,26,22.5,11.8,4.6,7,76.8,3.8,0,8.1
2016,27,23.9,18.6,4.9,7.5,85.3,3.8,0,7.5
2016,28,24.9,6.4,4.6,7.4,81.6,4.1,0,7.3
2016,29,25.3,0.3,7.9,10.5,78.2,3,0,6.8
2016,30,27.4,3.8,7.1,9.1,80.4,3.1,0,7.6
2016,31,27.7,2.8,8.2,9.5,79.3,2.4,0,6.8
2016,32,28.8,1.3,10.4,11,75.2,1.2,0,6.7
2016,33,28.5,1.3,8.3,9.7,73.7,2.5,0,6.9
2016,34,26.3,2.4,7.7,9,71.2,2.5,0,7.7
2016,35,21.8,11.8,5.2,6.8,75.9,3.4,0,10.3
2016,36,23.7,1.8,4.7,6.8,81.4,3.6,0,6.2
2016,37,22.4,13.1,4.5,6,82.3,3.8,0,6.4
2016,38,19.9,1.1,6.7,7.5,72,2.7,0,7.6
2016,39,20.7,5.7,1.8,4,85.6,4.6,0,5.7
2016,40,20.2,16,4.9,5.9,81.7,3.1,0,9.5
2016,41,15.1,0,7,6.9,69.5,2.7,0,6.4
2016,42,17.1,3.5,3.9,4.7,80.7,3.5,0,6.6
2016,43,14.7,4.1,2.7,3.7,78.6,3.8,0,8.4
2016,48,5.5,0.8,5.9,4.4,62,2,0,7.9
2016,49,4.1,0.5,5.5,4.1,61.5,1.9,0,8.3
2016,50,2.1,0.2,5.5,4,59.1,2.2,0.1,7.9
2016,51,5.8,6.7,2.9,2.6,78.3,3.7,0,8.5
2016,52,1.3,1.8,5.8,4.1,65.9,2.3,0,7.8
2017,1,4.9,0.4,5.1,3.9,71.1,2.3,0,6.4
2017,2,0.8,0.3,6.1,4.4,55.6,2,0.1,10.8
2017,3,-1.5,0.4,6.3,4.6,58.6,1.9,0.4,8.2
2017,4,-1.9,0.3,8.1,6,53.5,1.4,0.6,9.3
2017,5,0.8,0.9,6.2,5.2,57.9,2.2,0.2,8.2
2017,6,-0.2,0.5,5.8,5.3,56.6,2.4,0.3,10.6
2017,7,2.8,0.5,8.7,7.2,55.6,1.2,0.3,9.1
2017,8,2.6,3.5,7.1,6.7,59.5,2.3,0,10.4
2017,9,4.8,0.8,8.3,8,58.1,1.8,0,8
2017,10,4.3,0.1,9,8.9,48.4,1.3,0.1,10.3
2017,11,7.3,0,8.6,8.9,50.4,1.8,0,8.3
2017,12,8.2,1.5,5.8,7.3,57,3,0,7.9
2017,13,8.1,1.4,5.5,7.3,69.7,3.3,0,8.5
2017,14,12.7,4.9,7.2,8.5,65.4,2.6,0,8.8
2017,15,13.9,1.7,8.4,10.1,53.9,2.5,0,10.8
2017,16,13.9,3.2,6.8,8.5,64.8,2.7,0,8.9
2017,17,15.2,0.4,9.8,11.8,53.7,1.5,0,9.9
2017,18,18.5,0.7,9.7,11.5,55.8,1.8,0,9
2017,19,17.2,2.6,5.4,7.9,69.9,3.3,0,9.5
2017,20,18.4,0,11.2,12.9,56.1,1.5,0,8.4
2017,21,18.9,0.6,10.1,12.4,62.3,1.8,0,8.2
2017,22,21,0.5,10.2,12.2,59.7,1.9,0,8.5
2017,23,20.1,2.8,7.4,10.1,65,3.1,0,8.9
2017,24,21.2,0.3,10.7,12.9,63.2,1.5,0,8
2017,25,23.7,0.9,8.5,10.8,66.1,2.7,0,7.2
2017,26,23.9,4.8,4.7,8.3,79.4,4.1,0,6.9
2017,27,25.7,17,3,6.6,86.3,4.5,0,8.5
2017,28,26.1,10.3,5.4,8.5,83,3.6,0,8.6
2017,29,27.4,4.5,5.8,8.9,81.7,3.4,0,7.3
2017,30,25.4,7.2,5.2,8.1,81.5,3.4,0,6.6
2017,31,27.3,3.1,7.7,9.7,80.3,2.8,0,6.9
2017,32,27,4.6,6.4,8.7,79.4,3,0,7.1
2017,33,23.9,21.2,0.5,3.8,84.2,5,0,8
